 Tiempo(s),Angulo(rad),Velocidad(rad/s),Aceleracion(rad/s^2)
3.33,-10.9606677025,1.06659009844,-29.7621732014
3.34,-10.9606677025,0.872664625997,-25.5873887252
3.35,-10.94321441,0.678739153553,-29.7621732014
3.36,-10.94321441,0.193925472444,-25.9914001262
3.37,-10.94321441,0.048481368111,-13.0630352966
3.38,-10.94321441,0,-5.65615961295
3.39,-10.94321441,0,-5.65615961295
3.4,-10.94321441,-0.048481368111,-13.0630352966
3.41,-10.94321441,-0.193925472444,-25.9914001262
3.42,-10.94321441,-0.678739153553,-29.7621732014
3.43,-10.9606677025,-0.872664625997,-25.5873887252
3.44,-10.9606677025,-1.06659009844,-29.7621732014
3.45,-10.978120995,-1.55140377955,-26.1260705931
3.46,-10.9955742876,-1.69684788388,-13.8710580984
3.47,-11.0130275801,-1.74532925199,-9.42693268824
3.48,-11.0304808726,-1.79381062011,-13.8710580984
3.49,-11.0479341651,-1.93925472444,-25.9914001262
3.5,-11.0653874576,-2.42406840555,-28.8194799326
3.51,-11.1002940427,-2.61799387799,-21.0085928481
3.52,-11.1177473352,-2.76343798232,-18.0458425746
3.53,-11.1526539202,-3.1028075591,-6.59885288177
3.54,-11.1875605053,-2.81191935044,-5.25214821202
3.55,-11.2050137978,-2.90888208666,-28.9541503996
3.56,-11.2399203828,-3.49065850399,-42.5558675641
3.57,-11.2748269679,-4.07243492132,-28.9541503996
3.58,-11.3271868454,-4.16939765754,-5.25214821202
3.59,-11.3620934305,-3.87850944888,-6.59885288177
3.6,-11.3970000155,-4.21787902565,-18.0458425746
3.61,-11.4493598931,-4.36332312999,-21.0085928481
3.62,-11.4842664781,-4.55724860243,-28.9541503996
3.63,-11.5366263557,-5.04206228354,-26.799422928
3.64,-11.5889862332,-5.18750638787,-17.6418311737
3.65,-11.6413461108,-5.28446912409,-17.5071607067
3.66,-11.6937059884,-5.42991322843,-25.9914001262
3.67,-11.7460658659,-5.91472690954,-25.3180477913
3.68,-11.815879036,-6.06017101387,-13.7363876314
3.69,-11.8682389136,-6.10865238198,-9.42693268824
3.7,-11.9380520836,-6.15713375009,-13.6017171645
3.71,-11.9904119612,-6.30257785442,-24.1060135885
3.72,-12.0602251313,-6.78739153553,-19.3925472444
3.73,-12.1300383014,-6.88435427176,4.98280727807
3.74,-12.1998514714,-6.73891016742,35.2836623474
3.75,-12.2696646415,-6.10865238198,60.6017101387
3.76,-12.3220245191,-5.38143186032,73.9340863692
3.77,-12.3743843966,-4.79965544298,99.9254864954
3.78,-12.4267442742,-3.44217713588,129.014307362
3.79,-12.4441975667,-1.93925472444,132.111728102
3.8,-12.4616508592,-0.727220521664,123.088806815
3.81,-12.4616508592,0.630257785442,99.3868046275
3.82,-12.4441975667,1.45444104333,58.5816531341
3.83,-12.4267442742,1.69684788388,29.0888208666
3.84,-12.4092909817,1.79381062011,24.3753545225
3.85,-12.3918376892,1.98773609255,39.9971286915
3.86,-12.3743843966,2.61799387799,54.8108800588
3.87,-12.3394778116,3.29673303154,49.6934023137
3.88,-12.3045712266,3.63610260832,37.8424012199
3.89,-12.2696646415,4.12091628943,17.9111721077
